date,time,user_name,text,link,retweet_counts,favorite_counts
2019-12-30,23:33:19,stage_Whisperer,2019 독서 연말정산 마지막 2019년 총 105권의 책을 읽었다 아쉬워라 내년에는 더 많이 읽어야지 여성작가 책 후기는 총떡 계정 @gun_sex_ 에서 보다 자세히 보실 수 있습니다 #2019_여성작가,https://twitter.com/stage_Whisperer/status/1211792411724144641,0,0
2019-12-29,23:58:44,stage_Whisperer,2019 독서 연말정산 2/4분기 여성작가 책 후기는 총떡 계정 @gun_sex_ 에서 보다 자세히 보실 수 있습니다 #2019_여성작가,https://twitter.com/stage_Whisperer/status/1211436419568136192,1,1
2019-12-29,20:03:56,ducknis,2019여성작가 챌린지 하던거 어쩐지 하반기에 흐지부지 되어버리고 남작가 글 너무 많이 봤는데 뭐 그렇게 나쁘진 않았고 나름의 즐거움도 있었지만 샌드맨 시리즈를 처음부터 끝까지 읽는거보다 부서진 대지 시리즈 두 권을 읽는게 열배쯤 뇌에 자극이 되지 않았나 뭐 그런 마음,https://twitter.com/ducknis/status/1211377330934833152,0,1
2019-12-29,19:03:53,zz99e1,2020년은 더 여자들이 해먹는 해가 되었으면 좋겠다 ㅋㅋ 느그남자들 그늘에 가려진 여성들이 더욱 주목받는 해가 되었으면!! 2019년은 이제서야 주목받기 시작하는 도약일뿐 !.! 영화제도 그렇고 연예대상도 그렇고 여성연예인들 감독 작가 스태프 등 더 많은 여성들이 빛났스면 좋겠슴미다.. 총총,https://twitter.com/zz99e1/status/1211362216491900928,0,1
2019-12-29,16:33:02,VerSomnium,"2019 mbc 연예대상 신인상: 김이나님, 홍현희님 베스트엔터테이너상: 장도연님 멀티테이너상: 한혜연님 작가상: 정다운님 우수상: 옥상달빛, 안영미님, 화사님 최우수상: 양희은님, 김숙님, 송은이님 대상: 박나래님 상 받으신 모든 여성분들 축하하고 감사드립니다ㅠㅠㅜ",https://twitter.com/VerSomnium/status/1211324256132292608,27,26
2019-12-29,11:03:40,stage_Whisperer,2019 독서 연말정산 1/4분기 여성작가 책 후기는 총떡 계정 @gun_sex_ 에서 보다 자세히 보실 수 있습니다,https://twitter.com/stage_Whisperer/status/1211241367688470528,0,0
2019-12-29,07:58:23,qqwarii,올해는 여성작가는 더 안 읽을 것 같아서 나도 해봤다 올해 읽은 것중에 여성작가 책만. 너무 좋았던 건 굵은 글씨에 밑줄까지 쳐봤다 다들 읽어줘라 #2019_여성작가,https://twitter.com/qqwarii/status/1211194740252692482,5,3
2019-12-28,04:22:15,s_grite,올해 마지막으로 읽은 책이 될 것 같다. 순간순간 공감되는 바가 많고 너무 일상적인 이야기라서 정말 순식간에 잘 읽혔다. 이런 여성작가들이 더더 많이 나오길.. #장류진 #일의기쁨과슬픔 #2019_여성작가,https://twitter.com/s_grite/status/1210777961101578241,2,2
2019-12-28,02:15:44,invalidyet," 이르샤 데일리워드(김선형), 문학동네, 2019년 10월 옮긴이의 말에 공감하며. ""인스타그램에서 시를 써서 스타가 된 영국의 젊은 흑인 여성 작가인데 (…) 찰나에 소화되는 짧은 시를, 소위 예쁜 감성을 포장해서 팔겠지"" 내가 간과한 것들. 그리고 선입견을 타파하는 말마디. 누구나 반성한다. ",https://twitter.com/invalidyet/status/1210746122852941825,0,0
2019-12-27,08:02:49,alwayszziluv,2019 여성작가 해시 쓰고싶었는데 못 썼다 내년엔 꼭,https://twitter.com/alwayszziluv/status/1210471081674305537,0,0
